Username,Record,Pick,Odds,Units,Sport,League,Event Time/Time Zone,Reasoning
imagine430,3W-3L (-0.85u),"Villanova ML",1.55,1,NCAAB,NCAAB,"eastern america Timezone","This pick is from my NCAAB model. I use it for a while now. The ones who are downvoting, please put an explanation for your downvote. I got downvoted even if my pick is correct."
JvEGX,0-0,"Houston ML",+100,1,MLB,MLB,"SF Giants","I’ve been on a roll already this year with MLB so let’s keep it going. Going to start tracking it from now on with my plays. Alright, so we got the visiting Giants playing their second game in Houston. First game they won easily, but I see this as a nice bounce back spot for the Stros. Im loving the value here. Houston is the better team on paper. I know they lost two key players in Tucker and Bregman and their bats are cold( besides red hot Altuve) but it’s only a matter of time until those bats get going especially with the new Addition of Walker and Paredes. If you want a stat that I think matters is Hayden who is HOU starter tonight, as a Cub last year posted a 1.14 WHIP which is pretty decent. Houston’s BP is what worries me. They let up 5 runs in 4 innings in that 7-2 loss. Let’s hope they can minimize those extra runs later in the game, once the relievers come in. Lineups aren’t out yet, but I’m sure nothing major is going to change."
yungsunyungkern,"13-11 (+0.46u)","Cutter Gauthier o2.5 sog",+128,1,NHL,NHL,"San Jose Sharks @ Anaheim Ducks 10:00pm EST","Took a bit of time away from posting but am confident that we can come back strong with tonight’s pick of Cutter Gauthier o2.5 sog. Gauthier is the line 2 LW at home which is what has been more consistent in my experience (line 2 players over line 1 at home). He has hit this line in 4/5 of his last games, with him still having 3 shot attempts in that one miss. He is also the main shooter on his line shooting almost 30% more than Leo Carlsson and Alex Killhorn in their last 10 games. San Jose is allowing the 3rd most sog to LW (L10 games) at 7.5 shots on goal allowed per game. They just allowed Kuzmenko 4 sog, Panarin 3 sog and McMann 6 sog. Gauthier will have more than enough opportunities to cash this line for us. If you haven’t seen me post in this thread before, the main thing about my picks that I cannot stress enough is that I choose my potd before player prop lines even drop, so on days like this I’m pleasantly surprised that we get plus odds. Pretty much don’t let odds scare you, and I hope we can build the bankroll up together."
Nice_Fact5212,0-0,"NYY Yankees vs. ARI Diamondbacks over 8.5 total runs",N/A,N/A,MLB,MLB,N/A,"Firstly I do not trust Warren leaving last year of 0-3 and with a 10.32 ERA yes I’m sure some work has been done in the offseason but I still can account on him for letting up a few runs. Following this is the New York Bombers bats they have been red hot recently ripping through everyone they play. Yes I see the caution going against Burnes but even if he only lets up 1 or 2 there will still be another 4 or so innings of relief pitchers where I see the Yankees opportunity to strike. Hit or fade BOL"
dchilds21,2-3,"Boone Jenner - Over 2.5 SOG",+108,1,NHL,NHL,"Nashville Predators @ Columbus Blue Jackets | 7pm EST","This is a pivotal game for the Jackets. Well, all the rest of their games are pivotal if they wanna get the last wildcard playoff spot. They are fighting with 3-4 other teams for that last spot, making them highly motivated. This is also the easiest matchup they have left this season. A home game against one of the bottom 5 teams in the league. Jenner is the team captain, and has been shooting a lot lately now that he has gotten back in his groove after missing over half the year due to injury. He has hit this line in 4 of his last 5 games, and I would expect the Jackets to come out firing to take advantage of the matchup. BOL!"
Expensive_Assist_805,1-0-0 (0.86 units),"Capitals 3-Way ML",-134,1,NHL,NHL,"Capitals at Bruins","As Celtics locker room says “Where my road dogs at?!” Great way to start with first pick. Coincidentally we’re taking the road dogs here again with Caps being the best team on road this season. Capitals and Bruins are both looking to end their losing streak in this matchup. Plain and simple, we’re taking the much better team here. With Caps coming off an embarrassing loss of 8-5, it’s hard to see them drop back to back to the worst teams in the league. Expect Thompson (TBA) in net and Caps highest scoring offense to be too much for Bruins."
fightstar33,"43-49 (+42.93u)","GSW Warriors vs MEM Grizz ALT line game total OVER 244.5",2.75,5,NBA,NBA,N/A,"Actual game total over here is 236. BIG RISK - BE CAREFUL as always. I like it until o250.5. Looking for a big OVER here. Both Kerr and Lisalo's main concepts mirror ragtag tempo pushes. 4-5 touches per possession, in under 15 seconds or less. Looks to be a highly offensive game, won't be surprised if it goes over 260 even lol. Have a feeling this is going overtime as well, even if no Ja. 133-129 MEM over GSW."
UnderMaster1050,2-1,"Bucks ML",N/A,3,NBA,NBA,"Bucks vs Phoenix’s","Last 3 Head-to-Head Matches (Suns vs. Bucks) These are the most recent H2H games from the 2024-25 season and prior, based on available records up to late 2024 and early 2025 assumptions: 1. March 24, 2025, at Phoenix: Suns 114, Bucks 106 (hypothetical based on trends; no official box score yet)- Kevin Durant likely led with 30+ points; Giannis Antetokounmpo countered but lacked support due to injuries (e.g., Lillard out). 2. March 17, 2024, at Milwaukee: Suns 140, Bucks 129.- Devin Booker dropped 36 points; Bradley Beal added 28; Giannis had 34 but couldn’t stop Phoenix’s offense. 3. February 6, 2024, at Phoenix: Bucks 114, Suns 106.- Damian Lillard’s 31 points and Giannis’ 34 overwhelmed a Durant-less Suns squad (out with a calf strain). H2H Record: Suns likely 2-1 in these three, reflecting their recent edge (5-2 vs. Bucks since 2022-23). Historically, Phoenix leads 77-75 in regular-season games through 2024. — - Key Factors: - Injuries: Durant’s absence cripples Phoenix’s offense; Beal’s questionable status adds uncertainty. Lillard’s potential return boosts Milwaukee. - Form: Bucks on a 9-game win streak (per X); Suns on a 3-game skid, 12-25 on the road. - Venue: Bucks are 30-7 at home (2024-25); Suns struggle away. - Matchup: Giannis vs. Suns’ depleted frontcourt favors Milwaukee. Prediction: Bucks ML .Giannis can exploits and Phoenix’s lack of size and Durant."
veenzzzzzz,3-2 (-1.98 units),"dodgers -1 spread",2.10,1,MLB,MLB,N/A,"The dodgers have been hot one of the best teams out there. They will win more than they lose this season. Give me ohtani at bat all day. They swept the tigers now they got 1 up on the braves let’s make it two!"
Sun_H23,"24-35 (-12.76u)","San Diego Padres (F5) -0.5",-105,1,MLB,MLB,"Cleveland Guardians","Going with the San Diego Padres to cover the run line at -0.5 for the first five innings at -105. BOL 💯"
Clarkc360,3-2,"Kansas City Royals",1.91,N/A,MLB,MLB,"Kansas City Royals (Lorenzen) @ Milwaukee Brewers (Patrick)","Betting odds are split even between the Royals and Brewers today. Lorenzen is getting his season debut. His numbers are better than my excitement to see him take the mound. While the Brewers are turning to Chad Patrick who gave up two runs in an inning during the Yankee's series and also doesn't hold great numbers in minor league ball. Brewers are littered with injuries mostly to their pitching and the bullpen has already seen their share of work to open the year. The Royals opened the season with 2-1 series loss to Cleveland, a much better team than the Brewers and have been scoring runs. I'd look for them to get Patrick out of this game early again and add to that work against the pen."
AcidaliaPlanitia,"2-1 (+.36 units)","Corey Seager (TEX) 2+ Total Bases",-140,1,MLB,MLB,"6:41PM PM ET","Bit of a slow start, but Spiers is an absolute dog, and my model loves it."
thebigtimeyams,0-0,"1st Inning Over/Under 0.5 Runs | Under",-156,N/A,MLB,MLB,"Detroit Tigers @ Seattle Mariners | 9:41 PM EST","There are a few good reasons I like this pick. Seattle hasn't scored in the first inning once this season; their batters usually warm up later on. I don't really trust Casey Mize too much as a pitcher, but against Seattle, I think this is pretty safe. Detroit's scored 50% of their last 5. Detroit isn't going to score six runs in the 1st again, either. Gilbert just struck out the A's 8 times. Sure, it's the A's, but something's gotta give. We trust in Gilbert, and we trust in how buns Seattle is in the 1st. BOL"
loshr,"18-13 (1 push)","Tommy Edman over 0.5 bases",1.73,N/A,MLB,MLB,"Dodgers vs Braves","Finally back with a win! I go with the same betstyle here for the Dodgers vs Braves today. For this one I got Tommy Edman over 0.5 bases. He have at least one base all 6 games played so far this season, and 16 out of the last 20 (no springbreak included). He faces a good pitcher in Sale, and is 1 out of 6 at bats vs him, but I like Edman to have at least a hit here, and continue the season in a strong way!"
MLBisan_al_Gaib,"4-2 (+5.73U)","ARI First 5 innings ML",-130,2,MLB,MLB,"7:05 PM EST","I didn’t like most of the slate today, but here’s a spot where I see some good value. We have a former Cy Young winner vs an unproven rookie. Let’s start with Corbin Burnes for ARI. In 2024, he sported an FIP- of 88, WHIP of 1.10, 3.67 K/BB, and an upper quartile GB% of 48.2%. He gets above average chase with an outside swing % of nearly 33%. This spring training he came ready to rock, and in 16 innings of work posted a stellar K/BB ratio of 11, and gave up exactly 0 home runs. Good for us is that he appears to dial things up against anyone wearing pinstripes. In his career vs current Yankees, his K/BB ratio nearly doubles at 6.81 with a K% of 32.7%, and he has held them to a .212 batting average with a wimpy  average exit velocity of 85.7 mph. Now I know the Bronx bombers and their torpedo bats seem scary, and to be honest the offensive statistics they’ve generated over 3 games is impressive. But in my humble opinion, the bats look more like bowling pins than torpedoes, and 3 games is way too small of a sample size to extrapolate to today’s matchup vs Burnes. So far 20 of their 34 hits and 16 of their 24 runs have come off of four guys including rookie reliever Connor Thomas making his MLB debut, Aaron Civale who finished in the bottom 5% for HRs allowed in the the 2024 season among starters who pitched at least 120 innings, and Nestor Cortes who was clearly having a generational bad day serving up 90mph beach balls and walking 5 in 2 innings. Now let’s talk about Will Warren. The 5th guy for New York out of necessity rather than merit due to a trio of injuries to Yankees starters. He made his MLB debut in 2024 and as a starter finished with a sorry 9.55 ERA, 1.85 WHIP, and 12 hits per 9 innings over 21.2 innings of work. His 2024 AAA minor league performance was nothing to write home about with a 5.91 ERA and 1.40 WHIP. Supposedly, he has good raw stuff with a plus slider and has been likened to Michael King. I think that comparison is a bit premature based on his performance to this point, and the reality is he’s headed straight into a buzzsaw facing a potent Diamondbacks lineup which led the league after the 2024 All-Star break with a wRC+ of 130, and has posted a first 5 innings wRC+ of 133 in 2025. Most commentators are in agreement that Warren’s arsenal against left handed hitting is lacking with a below average changeup that he’s still tinkering with. 7 of 9 hitters in today’s D-backs lineup including Corbin Carrol can hit from the left side. Read that again. So give me Corbin, Corbin, my man, and the Snakes vs a theoretically, hopefully, eventually good rookie with an abysmal MLB track record and no offspeed to disrupt a lefty heavy ARI lineup. BOL."
Mo_Monies,0-0,"Milwaukee Bucks -5",-115,1,NBA,NBA,"phx suns @ mil bucks","just because"
wes2211,"83-71 (+16.96u)","Team Canada (Jacobs) -1.5",1.85,N/A,Curling,Men's World Championship,"11:00AM EDT","Team Jacobs are up against Team Edin from Sweden in this matchup this morning. The front ends for these teams are pretty close to even but Canada has a significant shot-making advantage with their back end. Kennedy and Jacobs are the best third/skip combo in the world. Team Jacobs entered this event with a season record of 53-18 and were 17-11 against top ten teams. Team Edin were 40-28 and 5-14 against top ten teams. These teams have played twice this season, with Team Jacobs covering -1.5 easily both times (7-3 and 7-1)."
Dear_Yogurtcloset662,"8-6 (+7.80u)","Anthony Edwards PTS+AST o 32.5",-110,2,NBA,NBA,"Minnesota at Denver 7:00 PM PT","I'm a little sore going back to Ant after that last game against PHX, but setting emotion aside, this is a promising pick (assuming no one elbows him in the eye again). We all know Ant is a gifted scorer, and he has proven himself a willing and skillful passer. After some rest and a few consecutive sub-par performances, I am anticipating a bounce-back game for Ant against a highly favorable matchup. Denver is considered a very easy matchup at the SG position, giving up 2nd most points and 4th most assist to SGs in the league. Ant has faced off against the Nuggets 3 times already this season, and has gone over this line in all three (totaling 35, 43, and 33 PTS+AST in reverse-chronological order). I'm backing him to do it again against the rival Nuggets."
Nectaralis,"2-2-0 (0U)","Capitals -1.5 vs. Bruins",2.18,N/A,NHL,NHL,"Washington @ Boston | 7:00 PM ET","Bruins are skating like they’ve got bricks in their skates - offense sputtering, defense leaking. Meanwhile, the Capitals are rolling, with Ovechkin still sniping goals like it’s target practice. Expect Washington to dominate and cover. Let’s ride the Bruins tank."
CMDVN,"12-0-14 (+€611,30)","Wigan Athletic DNB",2.42,N/A,Soccer,League One,"2045 CET","Going into a derby today, pretty confident for this one to atleast not lose. Wigan have recently sacked their manager and appointed Ryan Low. The new manager effect is real and teams often have a honeymoon phase for a while. Pair that with the crazy H2H record of Wigan, where they have not lost against Bolton in competition games since 2015 (5-3-0), Bolton are cursed lol. I think this is a great reason to give Wigan a shot this game. Oh yeah... let's not forget Bolton have lost 3 in a row. It will be a team fighting for promotion against a team fighting against relegation + a huge derby with home advantage for Wigan. Fingers crossed... LFGGG"
Ecstatic-Dog-9873,"25 - 34 (-4.47 u)","Under 2.5 goals",2.47,N/A,Soccer,N/A,"Real Madrid - Real Sociedad","Their last 3 h2h ended in under 2.5 so i think thats what will happen today. Real Madrid 2 - 0 Real Sociedad"
thanksforthefade,1-0 (+2.86U),"Lucknow Super Giants ML",-130,2,Cricket,IPL,"10:00am EST","Lucknow has been really impressive so far crushing SRH and losing to Delhi in the last over, but they were without Thakur, their best bowler. Their batting has been elite and should continue vs Punjabs below average bowling. Punjab looked really good in their opening game vs GT scoring 243 runs but lucknow has one of the best bowling units and after they stopped SRH i’m confident they will win today. Also, home field advantage is huge in IPL and this one is in Lucknow."
sicknology,"25-24-1 (+4.52 Units)","Sox ML",+150,1,MLB,MLB,"Minnesota Twins vs Chicago White Sox (6:10PM CDT)","🤣 Sox blew out the Twins, who has yet to win a game. Twins might be the WORST offensive team to begin this season. Martin Perez threw a gem. But honestly I thought this game would be much closer and thought Sox would lose. That's the thing about these risky bets! Sox shockingly put up 9 runs and 3 HRs thru 3 innings, but what I found most shocking was that NONE OF THE SOX STARTERS HAS A EARNED RUN THRU 4 GAMES!! THAT'S INSANE?! THAT'S GOTTA BE SOME KIND OF MLB RECORD! If anyone was wondering what my best bet for POTD yesterday would have been, most likely would have been Reds ML (+105) ✅ or Dodgers -2.5 Alt. Line (+156)✅ Tigers ML (+100) ✅ or 1st 5 Stros +0.5(-135)❌(which was the only wager that loss). But I gotta feed my biggest audience here on risky bets and here we go again! Another risky wager! Because I am going back to the same team ML against the same opponent! Will the Sox make it two in a row?! IDK!!! Let's risk our hard earned money to find out! Who's wit me!!"
